location_id,edge_id,snap_distance_m,mapping_status,mapping_confidence,network_version,sensor_name,sensor_description,source_status,quality_flags
56,edge_c0868c86f2bb3f71c0a78a37,1.737,AUTO,HIGH,cceb975fc0c92f16f660,Lon364_T,Lonsdale St - Elizabeth St (North),A,[]
58,edge_548aa23ffeb109bacbb22466,2.006,AUTO,HIGH,cceb975fc0c92f16f660,Bou688_T,Bourke St - Spencer St (North),A,[]
59,edge_e073144507834e3a89ccc1c7,0.204,AUTO,HIGH,cceb975fc0c92f16f660,RMIT_T,Building 80 RMIT,A,[]
61,edge_98f1534ad98e9b62cac99aff,0.067,AUTO,HIGH,cceb975fc0c92f16f660,RMIT14_T,RMIT Building 14,A,[]
62,edge_34cbd38728796a60adb9690a,0.919,AUTO,HIGH,cceb975fc0c92f16f660,Lat224_T,La Trobe St (North),A,[]
63,edge_10046bd2dd212c91d55722a3,1.553,AUTO,HIGH,cceb975fc0c92f16f660,Bou231_T,231 Bourke St,A,[]
66,edge_dae301b12579002abf0d4e83,3.318,AUTO,HIGH,cceb975fc0c92f16f660,QVN_T,"QV2 Apartments, 300 Swanston Street",A,[]
67,edge_fbd54a2a3a2cd9725a1ceced,2.13,AUTO,HIGH,cceb975fc0c92f16f660,FLDegS_T,Flinders Ln -Degraves St (South),A,[]
68,edge_e3f34fff5779283b395d13aa,0.174,AUTO,HIGH,cceb975fc0c92f16f660,FLDegN_T,Flinders Ln -Degraves St (North),A,[]
69,edge_70669bd9436487817fea2259,0.725,AUTO,HIGH,cceb975fc0c92f16f660,FLDegC_T,Flinders Ln -Degraves St (Crossing),A,[]
